Model Name,Language,r,nFound,Call Counts,Time,N,len
CMT Real,C++,0,1,17,0.47,100000,10
CMT Real,C++,0,1,17,0.465,100000,10
CMT Real,C++,0,1,16,0.429,100000,10
CMT Real,C++,0,1,16,0.432,100000,10
CMT Real,C++,0,1,13,0.346,100000,10
CMT Real,C++,0.05,4,96,2.688,100000,10
CMT Real,C++,0.05,9,117,7.121,100000,10
CMT Real,C++,0.05,1,94,2.59,100000,10
CMT Real,C++,0.05,3,109,3.008,100000,10
CMT Real,C++,0.05,2,69,1.92,100000,10
CMT Real,C++,0.06,4,96,2.653,100000,10
CMT Real,C++,0.06,9,117,3.254,100000,10
CMT Real,C++,0.06,1,94,2.56,100000,10
CMT Real,C++,0.06,3,109,2.986,100000,10
CMT Real,C++,0.06,2,69,1.909,100000,10
CMT Real,C++,0.07,15,220,6.116,100000,10
CMT Real,C++,0.07,21,241,6.769,100000,10
CMT Real,C++,0.07,2,230,6.349,100000,10
CMT Real,C++,0.07,4,290,8.01,100000,10
CMT Real,C++,0.07,3,222,6.175,100000,10
CMT Real,C++,0.08,15,220,6.079,100000,10
CMT Real,C++,0.08,21,241,6.646,100000,10
CMT Real,C++,0.08,2,230,6.298,100000,10
CMT Real,C++,0.08,4,290,7.931,100000,10
CMT Real,C++,0.08,3,222,6.118,100000,10
CMT Real,C++,0.09,38,367,10.397,100000,10
CMT Real,C++,0.09,60,404,11.274,100000,10
CMT Real,C++,0.09,10,384,10.565,100000,10
CMT Real,C++,0.09,11,509,14.07,100000,10
CMT Real,C++,0.09,18,471,13.043,100000,10
CMT Real,C++,0.1,38,367,10.222,100000,10
CMT Real,C++,0.1,60,404,11.228,100000,10
CMT Real,C++,0.1,10,384,10.472,100000,10
CMT Real,C++,0.1,11,509,14.01,100000,10
CMT Real,C++,0.1,18,471,13.067,100000,10
CMT Real,C++,0.11,38,367,10.279,100000,10
CMT Real,C++,0.11,60,404,11.334,100000,10
CMT Real,C++,0.11,10,384,10.627,100000,10
CMT Real,C++,0.11,11,509,14.198,100000,10
CMT Real,C++,0.11,18,471,13.182,100000,10
CMT Real,C++,0.12,90,1033,30.354,100000,10
CMT Real,C++,0.12,117,1512,42.454,100000,10
CMT Real,C++,0.12,31,798,22.389,100000,10
CMT Real,C++,0.12,41,912,25.643,100000,10
CMT Real,C++,0.12,40,880,24.883,100000,10
CMT Real,C++,0.13,90,1033,29.3,100000,10
CMT Real,C++,0.13,117,1512,42.533,100000,10
CMT Real,C++,0.13,31,798,22.444,100000,10
CMT Real,C++,0.13,41,912,25.62,100000,10
CMT Real,C++,0.13,40,880,24.861,100000,10
CMT Real,C++,0.14,220,2133,62.637,100000,10
CMT Real,C++,0.14,262,3151,89.617,100000,10
CMT Real,C++,0.14,78,1404,39.28,100000,10
CMT Real,C++,0.14,71,1370,38.45,100000,10
CMT Real,C++,0.14,139,1926,54.475,100000,10
CMT Real,C++,0.15,220,2133,60.271,100000,10
CMT Real,C++,0.15,262,3151,88.362,100000,10
CMT Real,C++,0.15,78,1404,39.338,100000,10
CMT Real,C++,0.15,71,1370,38.449,100000,10
CMT Real,C++,0.15,139,1926,54.197,100000,10
CMT Real,C++,0.16,410,3662,102.629,100000,10
CMT Real,C++,0.16,467,4661,129.661,100000,10
CMT Real,C++,0.16,193,2653,74.074,100000,10
CMT Real,C++,0.16,153,2571,71.674,100000,10
CMT Real,C++,0.16,257,3361,94.067,100000,10
CMT Real,C++,0.17,410,3662,102.509,100000,10
CMT Real,C++,0.17,467,4661,129.67,100000,10
CMT Real,C++,0.17,193,2653,74.086,100000,10
CMT Real,C++,0.17,153,2571,71.661,100000,10
CMT Real,C++,0.17,257,3361,94.305,100000,10
CMT Real,C++,0,1,14,0.584,100000,15
CMT Real,C++,0,1,15,0.606,100000,15
CMT Real,C++,0,1,17,0.691,100000,15
CMT Real,C++,0,1,17,0.688,100000,15
CMT Real,C++,0,1,17,0.687,100000,15
CMT Real,C++,0.05,3,300,12.285,100000,15
CMT Real,C++,0.05,1,179,7.284,100000,15
CMT Real,C++,0.05,1,83,3.402,100000,15
CMT Real,C++,0.05,3,394,16.088,100000,15
CMT Real,C++,0.05,1,205,8.407,100000,15
CMT Real,C++,0.06,4,567,23.277,100000,15
CMT Real,C++,0.06,1,346,14.029,100000,15
CMT Real,C++,0.06,1,161,6.611,100000,15
CMT Real,C++,0.06,4,713,29.13,100000,15
CMT Real,C++,0.06,1,311,12.687,100000,15
CMT Real,C++,0.07,5,1047,42.778,100000,15
CMT Real,C++,0.07,1,684,27.765,100000,15
CMT Real,C++,0.07,2,265,10.9,100000,15
CMT Real,C++,0.07,4,934,38.05,100000,15
CMT Real,C++,0.07,2,453,18.551,100000,15
CMT Real,C++,0.08,7,1755,71.983,100000,15
CMT Real,C++,0.08,1,1011,41.272,100000,15
CMT Real,C++,0.08,2,306,12.616,100000,15
CMT Real,C++,0.08,7,1576,64.526,100000,15
CMT Real,C++,0.08,2,650,26.801,100000,15
CMT Real,C++,0.09,10,2078,86.289,100000,15
CMT Real,C++,0.09,1,1320,54.056,100000,15
CMT Real,C++,0.09,5,398,16.365,100000,15
CMT Real,C++,0.09,10,1984,81.288,100000,15
CMT Real,C++,0.09,6,1297,53.303,100000,15
CMT Real,C++,0.1,10,2709,111.437,100000,15
CMT Real,C++,0.1,1,2042,83.622,100000,15
CMT Real,C++,0.1,8,480,19.795,100000,15
CMT Real,C++,0.1,12,2907,119.69,100000,15
CMT Real,C++,0.1,9,2120,87.47,100000,15
CMT Real,C++,0.11,15,3306,136.04,100000,15
CMT Real,C++,0.11,1,2352,96.437,100000,15
CMT Real,C++,0.11,15,935,38.581,100000,15
CMT Real,C++,0.11,13,3590,147.584,100000,15
CMT Real,C++,0.11,10,2605,107.361,100000,15
CMT Real,C++,0.12,30,4647,190.962,100000,15
CMT Real,C++,0.12,1,3375,138.614,100000,15
CMT Real,C++,0.12,17,1197,49.281,100000,15
CMT Real,C++,0.12,25,5547,228.137,100000,15
CMT Real,C++,0.12,19,3539,145.806,100000,15
CMT Real,C++,0.13,42,5470,224.944,100000,15
CMT Real,C++,0.13,1,3895,159.974,100000,15
CMT Real,C++,0.13,26,3458,142.144,100000,15
CMT Real,C++,0.13,33,6540,268.368,100000,15
CMT Real,C++,0.13,35,4641,190.77,100000,15
CMT Real,C++,0.14,73,7135,292.905,100000,15
CMT Real,C++,0.14,4,5383,220.842,100000,15
CMT Real,C++,0.14,37,5305,218.029,100000,15
CMT Real,C++,0.14,56,8697,357.044,100000,15
CMT Real,C++,0.14,68,7503,308.641,100000,15
CMT Real,C++,0.15,93,7926,324.969,100000,15
CMT Real,C++,0.15,8,6364,260.719,100000,15
CMT Real,C++,0.15,59,7821,320.805,100000,15
CMT Real,C++,0.15,79,9927,407.289,100000,15
CMT Real,C++,0.15,84,9014,370.338,100000,15
CMT Real,C++,0.16,149,10615,435.605,100000,15
CMT Real,C++,0.16,12,8520,349.124,100000,15
CMT Real,C++,0.16,74,8934,366.922,100000,15
CMT Real,C++,0.16,114,12557,514.364,100000,15
CMT Real,C++,0.16,142,12220,501.196,100000,15
CMT Real,C++,0.17,204,12013,492.275,100000,15
CMT Real,C++,0.17,16,9653,395.093,100000,15
CMT Real,C++,0.17,115,11246,460.718,100000,15
CMT Real,C++,0.17,144,13947,571.294,100000,15
CMT Real,C++,0.17,186,13904,570.245,100000,15
CMT Real,C++,0,1,17,0.933,100000,20
CMT Real,C++,0,1,17,0.923,100000,20
CMT Real,C++,0,1,17,0.908,100000,20
CMT Real,C++,0,1,16,0.853,100000,20
CMT Real,C++,0,1,17,0.922,100000,20
CMT Real,C++,0.05,1,406,21.975,100000,20
CMT Real,C++,0.05,1,207,11.097,100000,20
CMT Real,C++,0.05,1,628,33.908,100000,20
CMT Real,C++,0.05,2,631,34.152,100000,20
CMT Real,C++,0.05,1,140,7.517,100000,20
CMT Real,C++,0.06,1,628,33.834,100000,20
CMT Real,C++,0.06,1,331,17.751,100000,20
CMT Real,C++,0.06,1,1068,57.44,100000,20
CMT Real,C++,0.06,2,1202,64.952,100000,20
CMT Real,C++,0.06,1,183,9.807,100000,20
CMT Real,C++,0.07,1,1056,56.947,100000,20
CMT Real,C++,0.07,1,453,24.466,100000,20
CMT Real,C++,0.07,1,1937,104.588,100000,20
CMT Real,C++,0.07,2,2051,111.312,100000,20
CMT Real,C++,0.07,1,288,15.58,100000,20
CMT Real,C++,0.08,1,1907,103.511,100000,20
CMT Real,C++,0.08,1,640,34.648,100000,20
CMT Real,C++,0.08,1,3652,197.91,100000,20
CMT Real,C++,0.08,2,3074,167.277,100000,20
CMT Real,C++,0.08,1,394,21.355,100000,20
CMT Real,C++,0.09,1,3252,176.785,100000,20
CMT Real,C++,0.09,1,1002,54.295,100000,20
CMT Real,C++,0.09,1,5658,306.73,100000,20
CMT Real,C++,0.09,3,4088,222.527,100000,20
CMT Real,C++,0.09,1,674,36.468,100000,20
CMT Real,C++,0.1,1,4713,256.075,100000,20
CMT Real,C++,0.1,1,1302,70.543,100000,20
CMT Real,C++,0.1,1,8381,454.237,100000,20
CMT Real,C++,0.1,4,5193,282.753,100000,20
CMT Real,C++,0.1,1,888,47.985,100000,20
CMT Real,C++,0.11,1,6457,350.312,100000,20
CMT Real,C++,0.11,1,1662,90.114,100000,20
CMT Real,C++,0.11,1,10210,554.027,100000,20
CMT Real,C++,0.11,5,5899,320.747,100000,20
CMT Real,C++,0.11,1,1117,60.517,100000,20
CMT Real,C++,0.12,2,8745,474.278,100000,20
CMT Real,C++,0.12,1,2171,117.615,100000,20
CMT Real,C++,0.12,1,13700,743.43,100000,20
CMT Real,C++,0.12,9,7616,420.118,100000,20
CMT Real,C++,0.12,1,1563,84.602,100000,20
CMT Real,C++,0.13,2,15102,830.424,100000,20
CMT Real,C++,0.13,1,4513,245.48,100000,20
CMT Real,C++,0.13,1,17986,972.849,100000,20
